date,portfolio_value,daily_return,realized_vol,expected_vol,drawdown,regime_score,turnover
2023-09-26,209200.36373209997,-0.00035352682844269623,0.07463917181483402,0.12944171315017555,-0.07403193830504029,0.9860205929603881,0.0
2023-09-27,209284.1323967162,0.00040042313082921943,0.06827219201186041,0.12905208429712983,-0.07366115927472854,0.9783481019430718,0.0
2023-09-28,209579.10902305986,0.0014094552843810781,0.03868220816532163,0.12542653323610553,-0.07235552610054079,0.9699029991955282,0.0
2023-09-29,209173.45589007816,-0.0019355609195622625,0.038400366909101244,0.12394445695179765,-0.07415103849146847,0.9588700155166888,0.0
2023-10-02,209295.31065386726,0.0005825536671018039,0.03786853470162293,0.12387881030293328,-0.07361168178375936,0.9526705581086755,1.3429907429010677
2023-10-03,208230.7498355864,-0.0050864054954457005,0.03624573521862435,0.12400773037354668,-0.07832366841645116,0.9377519748450635,0.0
2023-10-04,208767.06308929424,0.002575571831400003,0.02924454080093041,0.12369534010219108,-0.07594982481915649,0.9327945061988707,0.0
2023-10-05,204812.21091808466,-0.01894385116448183,0.06942847041083115,0.13083393581158054,-0.09345489380629578,0.9294290144650151,0.0
2023-10-06,208977.26796757343,0.020335980119635444,0.10063282315936714,0.13846631682666835,-0.07501941054918775,0.9362874336687371,0.0
2023-10-09,210226.28940307946,0.0059768291912967175,0.10274411645479439,0.1390741083293327,-0.06949095956077528,0.946970148904471,0.0
2023-10-10,211940.3817760153,0.008153558614400147,0.10615736662267308,0.1386709452035645,-0.06190399955832487,0.9542362218904913,0.0
2023-10-11,214251.13920517568,0.010902865276530616,0.11164250981808173,0.13945008458716407,-0.05167606524905698,0.9592904158569807,0.0
2023-10-12,211586.8688834211,-0.01243526793667682,0.12050115984406234,0.14110960803179892,-0.06346872746844853,0.8396170008613685,0.0
2023-10-13,210909.1087438747,-0.0032032240144345137,0.12077593320455599,0.1408329501090725,-0.06646864693089054,0.7200459723980129,0.0
2023-10-16,212385.0071079513,0.006997793375860706,0.12240922158371902,0.1416148394692821,-0.05993598741222514,0.6,0.0
2023-10-17,213333.74614551757,0.004467071619062235,0.12310622175817311,0.14193128799085417,-0.0557366541414925,0.6,0.0
2023-10-18,209477.63947005844,-0.01807546506415747,0.13860278364086553,0.14455431974050664,-0.07280465326092235,0.6,0.0
2023-10-19,208602.78470477884,-0.004176363489166834,0.1391448062699595,0.14395361819130437,-0.07667695805436878,0.6,0.0
2023-10-20,207704.85749266038,-0.004304483343255616,0.13979564621908272,0.14421298680229994,-0.08065138670886787,0.720730040437684,0.0
2023-10-23,208935.03474844655,0.005922717795993959,0.1413201302244026,0.1437006897722433,-0.07520634431620611,0.838192289136281,0.0
2023-10-24,212481.05395052565,0.01697187456545257,0.15255921150095553,0.14796842821097522,-0.05951086239301447,0.9560638791307162,0.0
2023-10-25,205902.85021557478,-0.030959013110329114,0.18656128386984083,0.1615731424479177,-0.08862747793431121,0.8353338386930323,0.0
2023-10-26,200142.2893429394,-0.027977081748039145,0.2080093161165586,0.1706218221772793,-0.11412502148705961,0.6012049233277686,0.0
2023-10-27,202080.59004446788,0.00968461342124094,0.2115069381832026,0.17206887141203575,-0.10554566478061175,0.3666666666666667,0.0
2023-10-30,204831.13311455643,0.01361111955128047,0.21768945282108731,0.1746498950255134,-0.09337113989077957,0.25,0.0
2023-10-31,200207.25657373917,-0.022574090522807677,0.22954524423058564,0.17922190291078358,-0.11383746184947503,0.25,0.0
2023-11-01,203430.1661581964,0.016097865979548986,0.23717911791617832,0.1825598875251152,-0.09957213607423092,0.25,1.4094995284426344
2023-11-02,205369.0563966818,0.009530986849696665,0.23958986516748973,0.18316348508538502,-0.09099016994405391,0.25,0.0
2023-11-03,205383.124358421,6.850088317111869e-05,0.23063927043124172,0.18261852939786463,-0.09092790196788382,0.25,0.0
2023-11-06,205474.11712077854,0.0004430391379126597,0.2193675639781639,0.1810793467779207,-0.09052514744927127,0.25,0.0
2023-11-07,205440.38707329065,-0.0001641571598434144,0.21810049802810574,0.174200949343549,-0.09067444425801503,0.25,0.0
2023-11-08,205405.56243719294,-0.00016951212268345728,0.21571023213180074,0.17379160499818347,-0.09082858596317918,0.25,0.0
2023-11-09,205557.2188604445,0.0007383267592762088,0.21145000213612714,0.17227150746757955,-0.09015732037942685,0.4923927030205233,0.0
2023-11-10,205872.70364571182,0.001534778428197825,0.20833372661374802,0.1691747503846439,-0.08876091346169158,0.7377059984974466,0.0
